epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5093,0,53.2472,0,0,0,0,0,0,84.9175,0,3.334e-05,3.334e-05,3.334e-05
2,19.6399,0,52.993,0,0,0,0,0,0,84.8588,0,8.25248e-05,8.25248e-05,8.25248e-05
3,29.1017,0,52.4187,0,0,0,0,0,0,84.8073,0,0.000130719,0.000130719,0.000130719
4,37.9557,0,52.0765,0,0,0,0,0,0,84.7306,0,0.000177924,0.000177924,0.000177924
5,46.9734,0,51.6355,0,0,0,0,0,0,84.6882,0,0.000224138,0.000224138,0.000224138
6,56.0558,0,51.1109,0,0,0,0,0,0,84.5962,0,0.000269362,0.000269362,0.000269362
7,63.8501,0,50.498,0,0,0,0,0,0,84.5447,0,0.000313596,0.000313596,0.000313596
8,71.6743,0,49.9171,0,0,0,0,0,0,84.489,0,0.00035684,0.00035684,0.00035684
9,79.5062,0,49.3446,0,0,0,0,0,0,84.4257,0,0.000399093,0.000399093,0.000399093
10,87.5046,0,48.7755,0,0,0,0,0,0,84.3479,0,0.000440356,0.000440356,0.000440356
11,95.3279,0,48.1911,0,0,0,0,0,0,84.2566,0,0.000480629,0.000480629,0.000480629
12,103.16,0,47.5535,0,0,0,0,0,0,84.1494,0,0.000519912,0.000519912,0.000519912
13,110.969,0,47.1636,0,0,0,0,0,0,84.0329,0,0.000558205,0.000558205,0.000558205
14,118.965,0,46.5971,0,0,0,0,0,0,83.8965,0,0.000595507,0.000595507,0.000595507
